Time (s),EMG Voltage (V)
0,1.828373
0.0001,1.809692
0.0002,1.790044
0.0003,1.772007
0.0004,1.757834
0.0005,1.742374
0.0006,1.731423
0.0007,1.719183
0.0008,1.706621
0.0009,1.695026
0.001,1.683431
0.0011,1.672157
0.0012,1.659273
0.0013,1.650255
0.0014,1.634794
0.0015,1.619656
0.0016,1.607416
0.0017,1.591956
0.0018,1.578106
0.0019,1.566188
0.002,1.545574
0.0021,1.537844
0.0022,1.518518
0.0023,1.506601
0.0024,1.495005
0.0025,1.481477
0.0026,1.466983
0.0027,1.453133
0.0028,1.441538
0.0029,1.427688
0.003,1.41577
0.0031,1.400954
0.0032,1.392579
0.0033,1.38195
0.0034,1.370677
0.0035,1.36037
0.0036,1.34813
0.0037,1.336213
0.0038,1.323329
0.0039,1.304003
0.004,1.291764
0.0041,1.272116
0.0042,1.253434
0.0043,1.231532
0.0044,1.217038
0.0045,1.201899
0.0046,1.182574
0.0047,1.165181
0.0048,1.147465
0.0049,1.130072
0.005,1.118155
0.0051,1.093998
0.0052,1.076283
0.0053,1.058245
0.0054,1.043107
0.0055,1.023459
0.0056,1.007032
0.0057,0.990605
0.0058,0.976433
0.0059,0.968381
0.006,0.956141
0.0061,0.950344
0.0062,0.947123
0.0063,0.940359
0.0064,0.942613
0.0065,0.941325
0.0066,0.940359
0.0067,0.945512
0.0068,0.947445
0.0069,0.95292
0.007,0.959362
0.0071,0.95904
0.0072,0.960973
0.0073,0.960006
0.0074,0.962261
0.0075,0.95904
0.0076,0.959362
0.0077,0.959684
0.0078,0.958396
0.0079,0.965482
0.008,0.96677
0.0081,0.976111
0.0082,0.982553
0.0083,0.988995
0.0084,0.995115
0.0085,1.003811
0.0086,1.013796
0.0087,1.022171
0.0088,1.02668
0.0089,1.034088
0.009,1.036343
0.0091,1.036665
0.0092,1.036987
0.0093,1.043107
0.0094,1.045684
0.0095,1.048905
0.0096,1.053736
0.0097,1.062432
0.0098,1.069196
0.0099,1.080148
0.01,1.088522
0.0101,1.103983
0.0102,1.108492
0.0103,1.119443
0.0104,1.130072
0.0105,1.13748
0.0106,1.145855
0.0107,1.154874
0.0108,1.163248
0.0109,1.168724
0.011,1.177098
0.0111,1.182896
0.0112,1.189338
0.0113,1.19578
0.0114,1.198356
0.0115,1.206087
0.0116,1.215105
0.0117,1.224446
0.0118,1.234109
0.0119,1.243772
0.012,1.250536
0.0121,1.259554
0.0122,1.268895
0.0123,1.277592
0.0124,1.285966
0.0125,1.296595
0.0126,1.305936
0.0127,1.316565
0.0128,1.325261
0.0129,1.336857
0.013,1.347164
0.0131,1.353606
0.0132,1.361014
0.0133,1.367456
0.0134,1.376474
0.0135,1.380018
0.0136,1.386459
0.0137,1.391935
0.0138,1.39419
0.0139,1.399343
0.014,1.40353
0.0141,1.405785
0.0142,1.404175
0.0143,1.408684
0.0144,1.409972
0.0145,1.416414
