Time (s),EMG Voltage (V)
0,1.564578
0.001,1.561357
0.002,1.55878
0.003,1.559424
0.004,1.554271
0.005,1.560068
0.006,1.561679
0.007,1.559102
0.008,1.567477
0.009,1.569731
0.01,1.570375
0.011,1.576495
0.012,1.571342
0.013,1.571986
0.014,1.570375
0.015,1.569731
0.016,1.573274
0.017,1.56651
0.018,1.564256
0.019,1.564256
0.02,1.562001
0.021,1.567477
0.022,1.564578
0.023,1.564256
0.024,1.567799
0.025,1.564578
0.026,1.568765
0.027,1.572952
0.028,1.572952
0.029,1.572308
0.03,1.564578
0.031,1.568121
0.032,1.562323
0.033,1.565222
0.034,1.559746
0.035,1.561357
0.036,1.557814
0.037,1.55878
0.038,1.559102
0.039,1.554915
0.04,1.555559
0.041,1.562645
0.042,1.568765
0.043,1.570697
0.044,1.572952
0.045,1.569409
0.046,1.58036
0.047,1.575851
0.048,1.57102
0.049,1.568443
0.05,1.568443
0.051,1.567154
0.052,1.56651
0.053,1.562001
0.054,1.565544
0.055,1.562323
0.056,1.565222
0.057,1.567154
0.058,1.571986
0.059,1.572308
0.06,1.571986
0.061,1.579394
0.062,1.573274
0.063,1.571986
0.064,1.573274
0.065,1.569731
0.066,1.570053
0.067,1.560713
0.068,1.561035
0.069,1.562001
0.07,1.565222
0.071,1.563289
0.072,1.56039
0.073,1.565866
0.074,1.566188
0.075,1.568121
0.076,1.573596
0.077,1.575851
0.078,1.580038
0.079,1.575851
0.08,1.573918
0.081,1.570375
0.082,1.569087
0.083,1.567154
0.084,1.562967
0.085,1.563289
0.086,1.560713
0.087,1.554271
0.088,1.561035
0.089,1.561357
0.09,1.563289
0.091,1.565222
0.092,1.569731
0.093,1.572952
0.094,1.575207
0.095,1.573596
0.096,1.567477
0.097,1.572308
0.098,1.572308
0.099,1.568765
0.1,1.568765
0.101,1.564256
0.102,1.561357
0.103,1.561679
0.104,1.560713
0.105,1.56039
0.106,1.56039
0.107,1.564578
0.108,1.565544
0.109,1.569731
0.11,1.569087
0.111,1.574885
0.112,1.572952
0.113,1.571664
0.114,1.567799
0.115,1.567477
0.116,1.567154
0.117,1.560713
0.118,1.55878
0.119,1.560713
0.12,1.554271
0.121,1.554915
0.122,1.559424
0.123,1.556847
0.124,1.55878
0.125,1.563611
0.126,1.565544
0.127,1.56651
0.128,1.568765
0.129,1.569087
0.13,1.565866
0.131,1.563611
0.132,1.566188
0.133,1.563611
0.134,1.563933
0.135,1.559746
0.136,1.557169
0.137,1.55878
0.138,1.556203
0.139,1.554915
0.14,1.557169
0.141,1.564578
0.142,1.570375
0.143,1.569409
0.144,1.574563
0.145,1.575851
0.146,1.574563
0.147,1.572308
0.148,1.573918
0.149,1.568443
0.15,1.569087
0.151,1.56651
0.152,1.561679
0.153,1.5649
0.154,1.561035
0.155,1.563289
0.156,1.563933
0.157,1.565222
0.158,1.569731
0.159,1.572308
0.16,1.570053
0.161,1.569731
0.162,1.574885
0.163,1.573918
0.164,1.569087
0.165,1.567154
0.166,1.564256
0.167,1.562001
0.168,1.56039
0.169,1.556847
0.17,1.550083
0.171,1.55266
0.172,1.549761
0.173,1.554915
0.174,1.556847
0.175,1.556847
0.176,1.56039
0.177,1.563611
0.178,1.557814
0.179,1.563933
0.18,1.552016
0.181,1.561357
0.182,1.560713
0.183,1.556203
0.184,1.554915
0.185,1.553626
0.186,1.553304
0.187,1.549439
0.188,1.548795
0.189,1.549761
0.19,1.552982
0.191,1.554915
0.192,1.55878
0.193,1.562645
0.194,1.567477
0.195,1.564256
0.196,1.567154
0.197,1.568121
0.198,1.565544
0.199,1.566832
0.2,1.559102
0.201,1.549117
0.202,1.556203
0.203,1.555881
0.204,1.552982
0.205,1.554915
0.206,1.560068
0.207,1.552338
0.208,1.560713
0.209,1.563933
0.21,1.56651
0.211,1.566832
0.212,1.566188
0.213,1.562967
0.214,1.563611
0.215,1.562967
0.216,1.557169
0.217,1.554593
0.218,1.553304
0.219,1.552338
0.22,1.544286
0.221,1.55266
0.222,1.549761
0.223,1.552338
0.224,1.554915
0.225,1.55266
0.226,1.562001
0.227,1.562645
0.228,1.562645
0.229,1.56039
0.23,1.555881
0.231,1.553949
0.232,1.549117
0.233,1.553304
0.234,1.547829
0.235,1.552016
0.236,1.554915
0.237,1.557169
0.238,1.559746
0.239,1.56039
0.24,1.555559
0.241,1.555559
0.242,1.561035
0.243,1.568765
0.244,1.568443
0.245,1.572308
0.246,1.56039
0.247,1.564578
0.248,1.567154
0.249,1.563611
0.25,1.556847
0.251,1.556525
0.252,1.552338
0.253,1.554271
0.254,1.554915
0.255,1.555237
0.256,1.555559
0.257,1.557814
0.258,1.56039
0.259,1.564256
0.26,1.56651
0.261,1.565544
0.262,1.562323
0.263,1.564578
0.264,1.559102
0.265,1.559746
0.266,1.555559
0.267,1.557169
0.268,1.553304
0.269,1.556203
0.27,1.548473
0.271,1.554271
0.272,1.552338
0.273,1.551694
0.274,1.561035
0.275,1.561035
0.276,1.567154
0.277,1.566832
0.278,1.57102
0.279,1.564256
0.28,1.564256
0.281,1.562645
0.282,1.561035
0.283,1.560068
0.284,1.556203
0.285,1.557492
0.286,1.549439
0.287,1.553949
0.288,1.550728
0.289,1.553304
0.29,1.550083
0.291,1.554271
0.292,1.556847
0.293,1.561679
0.294,1.564578
0.295,1.567799
0.296,1.564578
0.297,1.562645
0.298,1.561679
0.299,1.561035
0.3,1.557169
0.301,1.556847
0.302,1.550406
0.303,1.550728
0.304,1.552016
0.305,1.553626
0.306,1.554915
0.307,1.555559
0.308,1.560713
0.309,1.555881
0.31,1.567799
0.311,1.569409
0.312,1.570375
0.313,1.568443
0.314,1.564578
0.315,1.564256
0.316,1.561679
0.317,1.554271
0.318,1.555881
0.319,1.556525
0.32,1.552338
0.321,1.555881
0.322,1.55266
0.323,1.551372
0.324,1.556847
0.325,1.560068
0.326,1.566832
0.327,1.567799
0.328,1.568121
0.329,1.564256
0.33,1.562967
0.331,1.563289
0.332,1.556525
0.333,1.558458
0.334,1.549117
0.335,1.547507
0.336,1.545252
0.337,1.546862
0.338,1.544286
0.339,1.546862
0.34,1.550406
0.341,1.550083
0.342,1.551694
0.343,1.554915
0.344,1.553626
0.345,1.559102
0.346,1.558458
0.347,1.557492
0.348,1.560068
0.349,1.556847
0.35,1.554271
0.351,1.552016
0.352,1.553304
0.353,1.55266
0.354,1.549117
0.355,1.553304
0.356,1.549439
0.357,1.558136
0.358,1.557492
0.359,1.559746
0.36,1.561035
0.361,1.56651
0.362,1.563289
0.363,1.56039
0.364,1.562645
0.365,1.562323
0.366,1.56039
0.367,1.554915
0.368,1.545896
0.369,1.547185
0.37,1.544286
0.371,1.534945
0.372,1.529469
0.373,1.52335
0.374,1.527215
0.375,1.527859
0.376,1.534623
0.377,1.545896
0.378,1.556525
0.379,1.565544
0.38,1.571342
0.381,1.576817
0.382,1.577784
0.383,1.571664
0.384,1.563289
0.385,1.559424
0.386,1.546862
0.387,1.534945
0.388,1.526248
0.389,1.505312
0.39,1.474713
0.391,1.447979
0.392,1.433163
0.393,1.409328
0.394,1.384527
0.395,1.379051
0.396,1.382272
0.397,1.403853
0.398,1.436706
0.399,1.468271
0.4,1.525926
0.401,1.562645
0.402,1.588091
0.403,1.602585
0.404,1.626742
0.405,1.638659
0.406,1.652832
0.407,1.631573
0.408,1.601941
0.409,1.596143
0.41,1.55878
0.411,1.522061
0.412,1.46956
0.413,1.448624
0.414,1.446369
0.415,1.455388
0.416,1.46956
0.417,1.48953
0.418,1.504668
0.419,1.528503
0.42,1.551372
0.421,1.602585
0.422,1.667648
0.423,1.732711
0.424,1.777804
0.425,1.753969
0.426,1.745595
0.427,1.717895
0.428,1.637049
0.429,1.492428
0.43,1.397733
0.431,1.350385
0.432,1.330737
0.433,1.304003
0.434,1.283711
0.435,1.277592
0.436,1.287576
0.437,1.323651
0.438,1.390325
0.439,1.483088
0.44,1.520451
0.441,1.5649
0.442,1.601941
0.443,1.634472
0.444,1.665393
0.445,1.682142
0.446,1.68955
0.447,1.700502
0.448,1.715962
0.449,1.718539
0.45,1.68021
0.451,1.613536
0.452,1.573918
0.453,1.5649
0.454,1.583903
0.455,1.610959
0.456,1.588413
0.457,1.581971
0.458,1.485665
0.459,1.299494
0.46,1.197712
0.461,1.192881
0.462,1.234431
0.463,1.293374
0.464,1.367134
0.465,1.469238
0.466,1.575529
0.467,1.604517
0.468,1.572308
0.469,1.443792
0.47,1.402886
0.471,1.410939
0.472,1.439605
0.473,1.493073
0.474,1.58648
0.475,1.600974
0.476,1.64639
0.477,1.701146
0.478,1.740441
0.479,1.767819
0.48,1.756546
0.481,1.506279
0.482,1.342332
0.483,1.296273
0.484,1.299172
0.485,1.315599
0.486,1.343621
0.487,1.366812
0.488,1.358759
0.489,1.444114
0.49,1.607738
0.491,1.817744
0.492,2.000372
0.493,1.998439
0.494,1.938207
0.495,1.862193
0.496,1.787145
0.497,1.744306
0.498,1.722404
0.499,1.711131
0.5,1.716284
0.501,1.748494
0.502,1.808403
0.503,1.850598
0.504,1.903099
0.505,1.946904
0.506,1.969451
0.507,1.958499
0.508,1.954634
0.509,1.953346
0.51,1.903421
0.511,1.829984
0.512,1.719827
0.513,1.599686
0.514,1.508855
0.515,1.465695
0.516,1.400309
0.517,1.342332
0.518,1.33267
0.519,1.335246
0.52,1.343943
0.521,1.365523
0.522,1.407718
0.523,1.40804
0.524,1.357793
0.525,1.351029
0.526,1.394512
0.527,1.444436
0.528,1.491462
0.529,1.506601
0.53,1.455066
0.531,1.396122
0.532,1.379695
0.533,1.370033
0.534,1.340722
0.535,1.287576
0.536,1.175165
0.537,1.147143
0.538,1.175488
0.539,1.216716
0.54,1.295951
0.541,1.401276
0.542,1.535589
